| Source Name |         RA2000 |          Dec2000 | PC | 90cm P:A | 90cm P:B | 90cm P:C | 90cm P:D | 90cm P:Flux | 20cm L:A | 20cm L:B | 20cm L:C | 20cm L:D | 20cm L:Flux | 6cm C:A | 6cm C:B | 6cm C:C | 6cm C:D | 6cm C:Flux | 3.7cm X:A | 3.7cm X:B | 3.7cm X:C | 3.7cm X:D | 3.7cm X:Flux | 2cm U:A | 2cm U:B | 2cm U:C | 2cm U:D | 2cm U:Flux | 1.3cm K:A | 1.3cm K:B | 1.3cm K:C | 1.3cm K:D | 1.3cm K:Flux | 0.7cm Q:A | 0.7cm Q:B | 0.7cm Q:C | 0.7cm Q:D | 0.7cm Q:Flux |
|    0449+635 |  72.3471274417 |     63.535954025 |  A |          |          |          |          |         nan |        S |        S |        S |        X |         0.3 |       S |       S |       S |       S |        0.4 |         S |         S |         S |         S |         0.47 |       S |       S |       S |       S |        1.0 |           |           |           |           |          nan |         S |         S |         S |         S |          0.8 |
|    0449-391 |  72.4260808333 |   -39.1858488889 |  C |          |          |          |          |         nan |        S |        X |        X |        X |        0.56 |       P |       P |       S |       S |       0.74 |         P |         P |         P |         P |         0.52 |       P |       P |       P |       P |        1.0 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0450+409 |    72.68199625 |    40.9372147222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |       S |       S |       ? |       ? |       0.33 |           |           |           |           |          nan |         |         |         |         |        nan |         W |         W |         W |         W |          0.3 |         W |         W |         W |         W |         0.13 |
|    0453+014 |     73.2593275 |        1.4765625 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0453-281 |  73.3110283625 |   -28.1270354444 |  A |          |          |          |          |         nan |        P |        S |        S |        S |        2.35 |       P |       P |       P |       P |       1.05 |         P |         P |         P |         P |          1.6 |       P |       P |       P |       P |        1.1 |           |           |           |           |          nan |         S |         S |         S |         S |          0.9 |
|    0455-205 |  73.8485979167 |      -20.5706975 |  T |        X |        X |        S |        S |        12.0 |        X |        X |        X |        S |         4.5 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0455-462 |   73.961552075 |   -46.2663006472 |  B |          |          |          |          |         nan |        X |        X |        S |        P |        2.45 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0456+040 |  74.1965613542 |    4.01470758333 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0457-234 |  74.2632467917 |   -23.4144500139 |  A |          |          |          |          |         nan |        P |        S |        X |        X |         1.4 |       P |       P |       P |       P |        1.5 |         P |         P |         P |         P |         1.85 |       P |       P |       P |       P |        1.5 |           |           |           |           |          nan |         S |         S |         S |         S |          1.7 |
|    0457+067 |  74.2821246958 |    6.75201684444 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.45 |       S |       S |       S |       X |        0.6 |         S |         S |         S |         S |         0.43 |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0458+551 |  74.7285070833 |    55.1450116667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.21 |
|    0459+024 |  74.9668777667 |    2.49199341944 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         1.8 |       P |       P |       P |       P |       1.19 |         P |         P |         P |         P |         1.28 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0501-019 |  75.3033745333 |   -1.98729338889 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        1.68 |       S |       S |       S |       S |       2.15 |         P |         P |         P |         P |          3.7 |       P |       P |       P |       P |        3.1 |           |           |           |           |          nan |         S |         S |         S |         S |          3.0 |
|    0501+139 |     75.4386285 |    13.9353390639 |  A |          |          |          |          |         nan |        W |        W |        W |        C |         0.3 |       S |       S |       S |       S |       0.43 |         S |         S |         S |         S |         0.41 |       W |       W |       W |       W |       0.38 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0502+061 |  75.5643580583 |       6.15208175 |  A |          |          |          |          |         nan |        S |        X |        X |        X |        0.79 |       S |       S |       S |       S |       0.86 |         S |         S |         S |         S |         0.72 |       S |       S |       S |       S |       0.62 |           |           |           |           |          nan |         S |         S |         S |         S |          0.8 |
|    0502+136 |   75.638414625 |    13.6363774167 |  A |          |          |          |          |         nan |        S |        S |        X |        X |         0.5 |       S |       S |       S |       S |       0.54 |         S |         S |         S |         S |         0.42 |       X |       X |       X |       X |        0.1 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0502+416 |  75.6582820833 |    41.6553713889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |       S |       S |       ? |       ? |       0.72 |           |           |           |           |          nan |         |         |         |         |        nan |         S |         S |         S |         S |          0.7 |         W |         W |         W |         W |          0.6 |
|    0502+252 |  75.7440941667 |    25.2734005556 |  T |        X |        X |        S |        S |        18.0 |        X |        X |        X |        S |         5.4 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0503+020 |  75.8383215708 |    2.05129899444 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         2.4 |       P |       P |       P |       P |       1.95 |         P |         P |         P |         P |         1.53 |       P |       P |       P |       P |        1.1 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0503+444 |    75.95922625 |    44.4109719444 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         S |         S |         S |         S |          0.4 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0505+049 |  76.3466030125 |    4.99520124444 |  A |          |          |          |          |         nan |        S |        X |        X |        X |        0.62 |       S |       S |       X |       X |       0.67 |         S |         S |         S |         S |         0.64 |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0507+467 |      76.848575 |    46.7617636111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.22 |
|    0508+845 |  77.1765145958 |    84.5345955611 |  B |          |          |          |          |         nan |        S |        S |        S |        X |        0.75 |       P |       P |       P |       P |       1.15 |         S |         S |         S |         S |         0.38 |       S |       S |       S |       S |        0.3 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0509+354 |  77.2743545833 |    35.4714691667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0509+056 |   77.358185275 |    5.69314820278 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0509+101 |  77.3644044875 |    10.1957222667 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         0.5 |       S |       S |       S |       S |        0.5 |         S |         S |         S |         S |         0.45 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.7 |
|    0510+180 |  77.5098713417 |     18.011550475 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.75 |       S |       S |       S |       S |        0.7 |         P |         P |         P |         P |         0.82 |       P |       P |       P |       P |        1.0 |           |           |           |           |          nan |         W |         W |         W |         W |          1.0 |
|    0511+139 |  77.9096652583 |    13.9553314944 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.29 |
|    0511+011 |  77.9900520458 |    1.18039874444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.19 |
|    0512+152 |  78.1708870833 |    15.2898553528 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.76 |       S |       S |       S |       S |       0.94 |         P |         P |         P |         P |         0.68 |       S |       S |       S |       S |        0.7 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0512+406 |  78.2189333333 |    40.6954452778 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         P |         P |         P |         P |          1.1 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0513+010 |  78.4168021417 |    1.00601511389 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.17 |
|    0513-219 |   78.454643025 |   -21.9878033389 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.62 |       S |       S |       S |       S |        1.0 |         P |         P |         P |         P |          1.1 |       P |       P |       P |       P |        1.0 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0514+560 |  78.5779154167 |        56.036405 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0516-160 |  79.0663723083 |   -16.0521207111 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.0 |       S |       X |       X |       X |       0.83 |         S |         S |         X |         X |          0.5 |       S |       S |       S |       X |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0517+456 |  79.3704141667 |    45.6180197222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.19 |
|    0517+068 |  79.4639339542 |    6.80089186389 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0518+209 |  79.5159353708 |    20.9145825417 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    0518+331 |     79.5214325 |    33.1037136111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         X |         W |         W |         W |         0.19 |
|    0518+475 |  79.5503745833 |    47.5154266667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    0519+088 |  79.7950470833 |    8.81575472222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0519+277 |     79.8876025 |    27.7345186111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    0520+454 |         80.198 |    45.4763755556 |  T |          |          |          |          |         nan |        X |        X |        S |        S |        1.26 |       X |       X |       X |       S |        0.5 |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0521+166 |  80.2911917542 |    16.6394586722 |  A |        S |        S |        S |        S |        17.5 |        X |        S |        P |        P |        8.47 |       X |       X |       S |       P |       3.78 |         X |         X |         S |         S |         2.52 |       X |       X |       X |       S |       1.56 |           |           |           |           |          nan |         X |         X |         ? |         ? |          0.4 |
|    0521-207 |     80.4120625 |   -20.7942744444 |  T |        S |        S |        S |        S |         8.0 |        X |        X |        S |        S |         1.8 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0521+212 |  80.4415242833 |    21.2142920444 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.21 |
|    0522+012 |  80.5727809958 |    1.22532952778 |  A |          |          |          |          |         nan |        S |        X |        X |        X |        0.68 |       S |       S |       S |       S |       0.44 |         S |         S |         S |         S |          0.4 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0522-364 |  80.7416027125 |      -36.4585697 |  A |        X |        X |        S |        S |        42.0 |        X |        X |        X |        X |        16.0 |         |         |         |         |        nan |         X |         X |         X |         X |          5.0 |         |         |         |         |        nan |           |           |           |           |          nan |         S |         S |         S |         X |          3.7 |
|    0524+705 |     81.0559725 |    70.5813663889 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.17 |
|    0527+035 |  81.8862726292 |    3.52542129167 |  A |          |          |          |          |         nan |        W |        W |        W |        C |        0.45 |       W |       W |       W |       W |        0.4 |         S |         S |         S |         S |          0.4 |       W |       W |       W |       W |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0530-250 |  82.5331783125 |   -25.0583054417 |  A |          |          |          |          |         nan |        P |        P |        S |        X |         1.3 |       P |       P |       P |       P |       0.94 |         P |         P |         P |         P |         0.68 |       S |       S |       S |       S |       0.55 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0530+135 |  82.7350697667 |    13.5319859861 |  A |          |          |          |          |         nan |        S |        S |        S |        S |        1.67 |       P |       P |       P |       P |        4.3 |         P |         P |         P |         P |         2.48 |       P |       P |       P |       P |        3.2 |           |           |           |           |          nan |         S |         S |         S |         S |          2.3 |
|    0532+075 |  83.1624938792 |       7.54537385 |  A |          |          |          |          |         nan |        S |        S |        S |        S |         2.3 |       P |       P |       P |       P |        2.3 |         P |         P |         P |         P |         2.08 |       P |       P |       P |       P |        2.2 |           |           |           |           |          nan |         S |         S |         S |         S |          4.2 |
|    0533+483 |  83.3161074417 |    48.3813355111 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       W |       W |       W |       W |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0534+194 |  83.6854929167 |    19.4559383333 |  C |        S |        S |        S |        X |        15.0 |        X |        S |        P |        P |         6.8 |       X |       X |       S |       P |        2.5 |           |           |           |           |          nan |       X |       X |       X |       S |        0.9 |           |           |           |           |          nan |         X |         X |         X |         X |          0.0 |
|    0535+391 |  83.9796583333 |    39.1828880556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0536+506 |     84.0842996 |    50.6406254333 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0536-340 |  84.1184929167 |   -34.0198280556 |  C |          |          |          |          |         nan |        S |        S |        X |        X |        0.45 |       P |       P |       S |       S |       0.62 |         P |         P |         P |         P |          1.0 |       S |       S |       S |       S |        0.8 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0537+446 |     84.3752625 |    44.6843147222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    0538-440 |  84.7098397958 |   -44.0858164111 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         3.8 |       P |       P |       P |       P |        3.4 |         P |         P |         P |         P |          4.2 |       P |       P |       P |       P |        4.5 |           |           |           |           |          nan |         S |         S |         S |         S |          3.0 |
|    0539-158 |  84.8833756417 |   -15.8417559056 |  A |          |          |          |          |         nan |        X |        X |        X |        X |         0.6 |       S |       S |       S |       S |        0.5 |         S |         S |         S |         S |         0.35 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0539+145 |  84.9265249958 |    14.5626560833 |  A |          |          |          |          |         nan |        S |        S |        S |        C |        0.52 |       W |       W |       W |       W |       0.38 |         S |         S |         S |         S |         0.39 |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         S |         S |         S |         S |          1.5 |
|    0539-286 |  84.9761726208 |   -28.6655409583 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         0.8 |       P |       P |       P |       P |        1.2 |         P |         P |         P |         P |         0.76 |       S |       S |       S |       S |        0.9 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0541+532 |  85.3173918125 |     53.206898375 |  A |          |          |          |          |         nan |        S |        X |        X |        X |        0.72 |       P |       P |       S |       S |        0.8 |         P |         P |         P |         P |          0.8 |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |         0.15 |
|    0541-056 |  85.4086807667 |   -5.69706344167 |  A |          |          |          |          |         nan |        S |        S |        S |        S |        1.05 |       P |       P |       P |       P |       1.25 |         P |         P |         P |         P |         0.98 |       P |       P |       P |       P |        1.3 |           |           |           |           |          nan |         W |         W |         W |         W |          0.7 |
|    0541+474 |  85.4551895458 |    47.4854475472 |  A |        X |        S |        S |        X |         7.0 |        X |        X |        X |        S |         1.8 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0542+498 |    85.65057465 |    49.8520093222 |  A |        S |        S |        S |        S |        52.3 |        X |        S |        P |        P |        22.5 |       X |       X |       S |       P |       7.94 |         X |         X |         S |         P |         4.84 |       X |       X |       X |       S |       2.78 |           |           |           |           |          nan |         X |         ? |         ? |         ? |         0.91 |
|    0543+826 |    85.91184375 |    82.6413169444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    0544+113 |  86.2174979167 |    11.3138636111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.14 |
|    0547+273 |  86.8922872542 |    27.3657895556 |  A |          |          |          |          |         nan |        W |        W |        W |        C |        0.38 |       S |       S |       S |       S |        0.6 |         S |         S |         S |         S |         0.66 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |         0.33 |
|    0550+234 |  87.6974120833 |    23.4467161111 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         ? |         ? |         S |         S |         0.24 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.26 |
|    0551+084 |  87.7967879167 |    8.48644722222 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.15 |
|    0552+379 |  88.0747369958 |    37.9070227528 |  A |          |          |          |          |         nan |        X |        X |        X |        X |        0.32 |       X |       X |       X |       X |       0.34 |         X |         X |         X |         X |         0.37 |       S |       S |       S |       S |       0.46 |           |           |           |           |          nan |         W |         W |         W |         W |          0.6 |
|    0552+192 |     88.1078575 |    19.2278541667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         W |         W |         W |         W |         0.12 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.14 |
|    0552+032 |  88.2087561583 |    3.22423420833 |  A |          |          |          |          |         nan |        S |        S |        X |        X |        0.52 |       P |       P |       P |       P |       0.78 |         P |         P |         P |         P |         0.74 |       S |       S |       S |       S |        0.8 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0552+726 |  88.2208216667 |       72.6792025 |  B |          |          |          |          |         nan |        X |        X |        X |        X |        0.48 |       X |       X |       X |       ? |       0.29 |         X |         X |         W |         W |         0.21 |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0554+356 |  88.5397066667 |       35.6920575 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.17 |
|    0555+398 |     88.8783567 |    39.8136569444 |  A |          |          |          |          |         nan |        P |        P |        P |        P |         1.7 |       P |       P |       P |       P |        5.0 |         P |         P |         P |         P |          6.2 |       P |       P |       P |       P |        2.8 |           |           |           |           |          nan |         S |         S |         S |         S |          2.5 |
|    0558+343 |    89.50037125 |    34.3134369444 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    0559+378 |    89.75188625 |    37.8320880556 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.18 |
|    0559+580 |  89.8058090958 |    58.0676239528 |  B |          |          |          |          |         nan |        X |        X |        X |        X |        0.36 |       S |       S |       S |       S |       0.35 |         S |         S |         S |         S |          0.5 |       W |       W |       W |       W |       0.25 |           |           |           |           |          nan |         W |         W |         W |         W |         0.27 |
|    0559+238 |  89.8834713875 |    23.8983130278 |  A |          |          |          |          |         nan |        S |        S |        S |        C |        0.72 |       P |       P |       P |       P |       1.05 |         P |         P |         P |         P |         0.95 |       S |       S |       S |       S |        0.8 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0603+177 |  90.7880427875 |    17.7046696389 |  A |          |          |          |          |         nan |        S |        S |        S |        C |         0.5 |       S |       S |       S |       S |       0.46 |         S |         S |         S |         S |         0.43 |       W |       W |       W |       W |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.2 |
|    0603+219 |  90.9648212125 |    21.9938048611 |  B |        X |        S |        S |        X |         7.0 |        X |        X |        P |        P |        2.75 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         X |         X |         X |         X |         0.16 |
|    0604-424 |  91.1049079167 |   -42.4248869444 |  C |          |          |          |          |         nan |        S |        X |        X |        X |        0.27 |       S |       S |       S |       S |       0.69 |         P |         P |         P |         P |         0.58 |       S |       S |       S |       S |        0.8 |           |           |           |           |          nan |         W |         W |         W |         W |         0.32 |
|    0604+203 |    91.11945625 |    20.3561755556 |  C |        S |        S |        S |        X |         9.0 |        X |        X |        S |        S |         1.6 |       X |       X |       X |       S |       0.32 |           |           |           |           |          nan |       X |       X |       X |       X |        0.0 |           |           |           |           |          nan |           |           |           |           |          nan |
|    0604+442 |   91.148453175 |    44.2329304167 |  B |          |          |          |          |         nan |        S |        S |        S |        S |        0.95 |       P |       P |       P |       P |        0.7 |         S |         S |         S |         S |         0.42 |         |         |         |         |        nan |           |           |           |           |          nan |         ? |         W |         W |         W |         0.13 |
|    0604+109 |    91.20570625 |    10.9278786111 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.16 |
|    0604+244 |  91.2296416667 |    24.4986136111 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         X |         X |         X |         X |          1.3 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.56 |
|    0605+096 |  91.2921379167 |    9.65377583333 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    0605+405 |  91.4618972917 |    40.5022508417 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       P |       P |       P |       P |        1.1 |           |           |           |           |          nan |         W |         W |         W |         W |          0.5 |
|    0607+476 |  91.8468957625 |    47.6630395083 |  A |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0607+673 |  91.9694650917 |    67.3487249361 |  A |          |          |          |          |         nan |        S |        S |        S |        X |         0.6 |       P |       P |       P |       P |       0.68 |         P |         P |         P |         P |         0.58 |       S |       S |       S |       S |        0.5 |           |           |           |           |          nan |         S |         S |         S |         S |         0.67 |
|    0607-085 |  91.9987468458 |   -8.58054948611 |  A |          |          |          |          |         nan |        P |        P |        P |        S |         3.0 |       P |       P |       P |       P |        2.7 |         P |         P |         P |         P |         3.22 |       P |       P |       P |       P |        2.1 |           |           |           |           |          nan |         S |         S |         S |         S |          3.6 |
|    0608-223 |    92.24869515 |   -22.3391544222 |  A |          |          |          |          |         nan |        S |        S |        S |        S |         0.8 |       P |       P |       P |       P |       0.75 |         S |         S |         S |         S |         0.48 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0609+480 |  92.3855683333 |    48.0709919444 |  T |        X |        S |        S |        X |        12.0 |        X |        X |        X |        P |         4.2 |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |           |           |           |           |          nan |
|    0609-157 |   92.420623075 |   -15.7112979556 |  A |          |          |          |          |         nan |        P |        P |        P |        S |         1.7 |       P |       P |       P |       P |        8.3 |         P |         P |         P |         P |          9.2 |       S |       S |       S |       S |        9.0 |           |           |           |           |          nan |         S |         S |         S |         S |          6.2 |
